"WMO306CD_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Definition_e"
"changed ","","","changed ","The original value has been replaced with another value."
"erroneous ","","","erroneous ","The data has been examined and determined to contain errors"
"estimate","","","estimate","The value has been estimated rather than measured."
"good","","","good","The data has been examined and represents a reliable measurement."
"inconsistent","","","inconsistent","The data has been examined and one or more parameters are inconsistent; the relationship between different elements does not meet defined criteria."
"missing ","","","missing ","The data is missing."
"suspect","","","suspect","The data should be treated as suspect."
"unchecked ","","","unchecked ","The data has not been checked by any qualitative or quantitative method."
