"WMO306CD_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Definition_e"
"depression","","","A depression","Lower than surrounding land beyond a 50 m radius, with no surface outlet for water"
"flat","","","A flat","Slope less than 3 degrees and not a hilltop, ridge, valley bottom or depression"
"hilltop","","","A hilltop","Higher than all or nearly all of the surrounding land beyond a 50 m radius"
"ridge","","","A ridge","As for hilltop but elongated and extending beyond a 50 m radius"
"slope","","","A slope","Neither crest nor depression or valley bottom, and with slope more than 3 degrees"
"valleyBottom","","","A valley bottom","Lower than nearly all of surrounding land beyond a 50 m radius, but water can flow out"
"notApplicable","","","(not applicable)"," "
"saddle","","","Saddle","A depression located along the axial trend of an anticline; an area confined on two sides by downward slopes and on two sides by upward slopes."
"unknownLocalTopography","","","(Unknown local topography)","Unknown local topography"
