"Notation_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Description_e"
"m2_-1","","","m¿ s¿¹","metres to the two thirds power per second"
"m2_s-1","","","m² s¿¹","square metres per second"
"m2_s-2","","","m² s¿²","square metres per second squared"
"m3_s-1","","","m³ s¿¹","cubic metres per second"
"m_s-1_km-1","","","m s¿¹/1000 m","metres per second per 1000 metres"
"m_s-1_m-1","","","m s¿¹/m","metres per second per metre"
"mSv","","","mSv","millisievert"
"N","","","N","newton"
"nbar","","","nbar","nanobar = hPa 10¿¿"
"N_m-2","","","N m¿²","newtons per square metre"
"N_units","","","N units","N units"
"okta","","","okta","eighths of cloud"
"Pa","","","Pa","pascal"
"Pa_s-1","","","Pa s¿¹","pascals per second"
"pc","","","pc","parsec"
"pH_unit","","","pH unit","pH unit"
"rad","","","rad","radian"
"rad_m-1","","","rad m¿¹","radians per metre"
"s","","","s","second"
"s-1","","","s¿¹","per second (same as hertz)"
"s-2","","","s¿²","per second squared"
"S","","","S","siemens"
"s_m-1","","","s m¿¹","seconds per metre"
"S_m-1","","","S m¿¹","siemens per metre"
"sr","","","sr","steradian"
"Sv","","","Sv","sievert"
"t","","","t","tonne"
"T","","","T","tesla"
"THz","","","THz","terahertz"
"u","","","u","atomic mass unit"
"V","","","V","volt"
"W","","","W","watt"
"Wb","","","Wb","weber"
"W_m-2","","","W m¿²","watts per square metre"
"W_m-1_sr-1","","","W m¿¹ sr¿¹","watts per metre per steradian"
"W_m-2_sr-1","","","W m¿² sr¿¹","watts per square metre per steradian"
"W_m-3_sr-1","","","W m¿³ sr¿¹","watts per cubic metre per steradian"
"W_m-2_sr-1_cm","","","W m¿² sr¿¹ cm","watts per square metre per steradian centimetre"
"W_m-2_sr-1_m","","","W m¿² sr¿¹ m","watts per square metre per steradian metre"
"nautical_mile","","",NA,"nautical mile"
"unknown","","",NA,"(unknown)"
"week","","",NA,"week"
