"Notation_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Description_e"
"'","","","'","minute (angle)"
"''","","","""","second (angle)"
"percent","","","%","per cent"
"0.001","","","¿","parts per thousand"
"degree_(angle)","","","°","degree (angle)"
"degrees_true","","","°","degrees true"
"Ohm","","","¿","ohm"
"a","","","a","year"
"A","","","A","ampere"
"AU","","","AU","astronomic unit"
"Bq","","","Bq","becquerel"
"Bq_l-1","","","Bq l¿¹","becquerels per litre"
"Bq_m-2","","","Bq m¿²","becquerels per square metre"
"Bq_m-3","","","Bq m¿³","becquerels per cubic metre"
"Bq_s_m-3","","","Bq s m¿³","becquerel seconds per cubic metre"
"C","","","C","coulomb"
"Cel","","","°C","degree Celsius"
"degC","","","°C","degrees Celsius"
"C_-1","","","°C/100 m","degrees Celsius per 100 metres"
"cb_-1","","","cb/12 h","centibars per 12 hours"
"cb_s-1","","","cb s¿¹","centibars per second"
"cd","","","cd","candela"
"cm","","","cm","centimetre"
"C_m-1","","","°C/m","degrees Celsius per metre"
"cm_h-1","","","cm h¿¹","centimetres per hour"
"cm_s-1","","","cm s¿¹","centimetres per second"
"d","","","d","day"
"daPa","","","daPa","dekapascal"
"dB","","","dB","decibel"
"dB_deg-1","","","dB degree¿¹","decibels per degree"
"dB_m-1","","","dB m¿¹","decibels per metre"
"deg2","","","degree²","square degrees"
"deg_s-1","","","degree/s","degrees per second"
"dm","","","dm","decimetre"
"dPa_s-1","","","dPa s¿¹","decipascals per second (microbar per second)"
"DU","","","DU","Dobson Unit"
"eV","","","eV","electron volt"
"F","","","F","farad"
"ft","","","ft","foot"
"g","","","g","acceleration due to gravity"
"GHz","","","GHz","gigahertz"
"g_kg-1","","","g kg¿¹","grams per kilogram"
"g_kg-1_s-1","","","g kg¿¹ s¿¹","grams per kilogram per second"
"gpm","","","gpm","geopotential metre"
"Gy","","","Gy","gray"
"h","","","h","hour"
"H","","","H","henry"
"ha","","","ha","hectare"
"hPa","","","hPa","hectopascal"
"hPa_-1","","","hPa/3 h","hectopascals per 3 hours"
"hPa_h-1","","","hPa h¿¹","hectopascals per hour"
"hPa_s-1","","","hPa s¿¹","hectopascals per second"
"Hz","","","Hz","hertz"
"in","","","in","inch"
"J","","","J","joule"
"J_kg-1","","","J kg¿¹","joules per kilogram"
"J_m-2","","","J m¿²","joules per square metre"
"K","","","K","kelvin"
"kg","","","kg","kilogram"
"kg_kg-1","","","kg kg¿¹","kilograms per kilogram"
"kg_kg-1_s-1","","","kg kg¿¹ s¿¹","kilograms per kilogram per second"
"kg_m-1","","","kg m¿¹","kilograms per metre"
"kg_m-2","","","kg m¿²","kilograms per square metre"
"kg_m-3","","","kg m¿³","kilograms per cubic metre"
"kg_m-2_s-1","","","kg m¿² s¿¹","kilograms per square metre per second"
"kg-2_s-1","","","kg¿² s¿¹","per square kilogram per second"
"kHz","","","kHz","kilohertz"
"km","","","km","kilometre"
"K_m-1","","","K m¿¹","kelvins per metre"
"km_d-1","","","km/d","kilometres per day"
"km_h-1","","","km h¿¹","kilometres per hour"
"K_m2_kg-1_s-1","","","K m² kg¿¹ s¿¹","kelvin square metres per kilogram per second"
"K_m_s-1","","","K m s¿¹","kelvin metres per second"
"kPa","","","kPa","kilopascal"
"kt","","","kt","knot"
"kt_km-1","","","kt/1000 m","knots per 1000 metres"
"lm","","","lm","lumen"
"log_(m-1)","","","log (m¿¹)","logarithm per metre"
"log_(m-2)","","","log (m¿²)","logarithm per square metre"
"l","","","l or L","litre"
"lx","","","lx","lux"
"m","","","m","metre"
"m2","","","m²","square metres"
"m3","","","m³","cubic metres"
"m4","","","m¿","metres to the fourth power"
"m-1","","","m¿¹","per metre"
"m2_Hz-1","","","m² Hz¿¹","square metres per hertz"
"MHz","","","MHz","megahertz"
"min","","","min","minute (time)"
"mm","","","mm","millimetre"
"m3_m-3","","","m³ m¿³","cubic metres per cubic metre"
"mm_h-1","","","mm h¿¹","millimetres per hour"
"mm6_m-3","","","mm¿ m¿³","millimetres to the sixth power per cubic metre"
"mm_s-1","","","mm s¿¹","millimetres per second"
"mol","","","mol","mole"
"mol_mol-1","","","mol mol¿¹","moles per mole"
"mon","","","mon","month"
"m2_rad-1_s","","","m² rad¿¹ s","square metres per radian second"
"m_s-1","","","m s¿¹","metres per second"
"m_s-2","","","m s¿²","metres per second squared"
"m2_s","","","m² s","square metres second"
