"WMO306CD_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Definition_e"
"estimate","","","estimate","The value has been estimated rather than measured."
"good","","","good","The data has been examined and represents a reliable measurement."
"missing ","","","missing ","The data is missing."
"poor","","","poor","The data should be consisdred as low quality and may have been rejected."
"suspect","","","suspect","The data should be treated as suspect."
"unchecked ","","","unchecked ","The data has not been checked by any qualitative or quantitative method."
