"WMO306CD_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Definition_e"
"agriculturalActivity","","\Intervention\Agricultural activity","Agricultural activity",NA
"avalanche","","\Incident\Environmental\Avalanche","Avalanche",NA
"biologicalFouling","","\Incident\Environmental\Biological fouling","Biological fouling",NA
"biomassBurningPlanned","","\Intervention\Biomass burning (planned)","Biomass burning (planned)",NA
"biomassBurningUnplanned","","\Incident\Environmental\Biomass burning (unplanned)","Biomass burning (unplanned)",NA
"construction","","\Intervention\Construction","Construction",NA
"corrosion","","\Incident\Environmental\Corrosion","Corrosion",NA
"cyberAttack","","\Incident\Technical\Cyber security penetration/ virus/ worm","Cyber security penetration/ virus/ worm",NA
"cycloneTornado","","\Incident\Severe weather\Cyclone/tornado","Cyclone/tornado",NA
"dataCommOutage","","\Incident\Technical\Data communications outage","Data communications outage",NA
"dustSandStorm","","\Incident\Severe weather\Dust/sand storm","Dust/sand storm",NA
"earthQuake","","\Incident\Environmental\Earthquake","Earthquake",NA
"environmental","","\Incident\Environmental","Environmental",NA
"equipmentCleaning","","\Intervention\Equipment cleaning/ painting","Equipment cleaning/ painting",NA
"equipmentMaintenance","","\Intervention\Equipment maintenance","Equipment maintenance","how is this different from ""preventive maintenance""?"
"malfunction","","\Incident\Technical\Equipment malfunction","Equipment malfunction",NA
"repairReplacement","","\Intervention\Equipment repair/ replacement","Equipment repair/ replacement",NA
"equipmentVerificationCalibration","","\Intervention\Equipment verification/ calibration","Equipment verification/ calibration",NA
"erosion","","\Incident\Environmental\Erosion","Erosion",NA
"extremeCold","","\Incident\Severe weather\Extreme cold","Extreme cold",NA
"extremeHeat","","\Incident\Severe weather\Extreme heat","Extreme heat",NA
"fire","","\Incident\Fire","Fire","Fire inside building"
"groundClutter","","\Incident\Technical\Ground clutter/ signal blockage/ degradation","Ground clutter/ signal blockage/ degradation",NA
"guanoFouling","","\Incident\Environmental\Guano fouling","Guano fouling",NA
"hail","","\Incident\Severe weather\Hail","Hail",NA
"hardwareFailure","","\Incident\Technical\Hardware failure","Hardware failure",NA
"flooding","","\Incident\Severe weather\Heavy precipitation/flooding","Heavy precipitation/flooding",NA
"windDebris","","\Incident\Severe weather\High wind/ blowing debris","High wind/ blowing debris",NA
"incident","","\Incident","Incident","An unexpected event  that has (or may have) impacted the observations"
"infrastructureWorks","","\Intervention\Infrastructure works","Infrastructure works",NA
"infestation","","\Incident\Environmental\Insect/animal infestation","Insect/animal infestation",NA
"inspectionAuditing","","\Intervention\Inspection/ auditing ","Inspection/ auditing ","Corrosion of components, seizing"
"intervention","","\Intervention","Intervention","Human activity that has (or may have) impacted the observations"
"landslide","","\Incident\Environmental\Land slide/mudslide","Land slide/mudslide","Hazard event"
"landUseChange","","\Intervention\Land use change","Land use change",NA
"magneticStorm","","\Incident\Space weather\Magnetic storm","Magnetic storm",NA
"notApplicable","","\(not applicable)","(not applicable)","None of the codes in the table is applicable in the context of the observing facility; or: Unknown; or: Information not available "
"personnelAbsence","","\Intervention\Personnel absent","Personnel absent",NA
"plannedServiceOutage","","\Intervention\Planned service outage","Planned service outage",NA
"pollution","","\Incident\Environmental\Pollution","Pollution",NA
"powerOutage","","\Incident\Technical\Power outage","Power outage",NA
"preventiveMaintenance","","\Intervention\Preventative maintenance","Preventative maintenance",NA
"radioFrequencyInterference","","\Incident\Technical\Radio frequency interference","Radio frequency interference",NA
"roadWork","","\Intervention\Road work","Road work",NA
"severeWeather","","\Incident\Severe weather","Severe weather","A natural severe weather event that has (or may have) impacted the observations"
"snowBlizzardIcing","","\Incident\Severe weather\Snow/blizzard/icing","Snow/blizzard/icing",NA
"softwareFailure","","\Incident\Technical\Software failure","Software failure",NA
"solarFlares","","\Incident\Space weather\Solar flares","Solar flares",NA
"spaceWeather","","\Incident\Space weather","Space weather","An event in outer space that has (or may have) impacted the observations"
"stormSurge","","\Incident\Environmental\Storm surge","Storm surge",NA
"technical","","\Incident\Technical","Technical",NA
"theft","","\Intervention\Theft of equipment","Theft of equipment",NA
"thunderstormLightning","","\Incident\Severe weather\Thunderstorm/ lightning strike","Thunderstorm/ lightning strike",NA
"tsunami","","\Incident\Environmental\Tsunami","Tsunami",NA
"unrestStrike","","\Intervention\Unrest/strike","Unrest/strike",NA
"urbanDevelopment","","\Intervention\Urban development","Urban development",NA
"vandalism","","\Intervention\Vandalism","Vandalism",NA
"vegetationTrimming","","\Intervention\Vegetation trimming/ cutting","Vegetation trimming/ cutting",NA
"volcanicEruption","","\Incident\Environmental\Volcanc erruption/ Ash","Volcanc erruption/ Ash",NA
