"Notation_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Description_e"
"pointingDown","","","DOWN","Pointing down"
"pointingE","","","E","Pointing East"
"pointingN","","","N","Pointing North"
"pointingNE","","","NE","Pointing Northeast"
"pointingNW","","","NW","Pointing Northwest"
"pointingS","","","S","Pointing South"
"pointingSE","","","SE","Pointing Southeast"
"pointingSW","","","SW","Pointing Southwest"
"unknown","","","unknown","Unknown pointing direction"
"pointingW","","","W","Pointing West"
