"WMO306CD_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Definition_e"
"annualBroadleafVegetation","","","Annual broadleaf vegetation",NA
"deciduousBroadleafVegetation","","","Deciduous broadleaf vegetation",NA
"deciduousNeedleleafVegetation","","","Deciduous needleleaf vegetation",NA
"evergreenBroadleafVegetation","","","Evergreen broadleaf vegetation",NA
"evergreenNeedleleafVegetation","","","Evergreen needleleaf vegetation",NA
"nonVegetated","","","Non-vegetated land",NA
"notApplicable","","","(not applicable)",NA
"unclassified","","","(unclassified)",NA
"urban","","","Urban",NA
"water","","","Water",NA
