"Notation_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Description_e"
"argoMexCoUS","","\Co-sponsored\GOOS\Argo\ARGO MEX-CO-US","",""
"argoMexico","","\Co-sponsored\GOOS\Argo\ARGO MEXICO","",""
"argoMIMRKMA","","\Co-sponsored\GOOS\Argo\ARGO NIMR/KMA","",""
"argoNetherlands","","\Co-sponsored\GOOS\Argo\ARGO NETHERLANDS","",""
"argoNewZealand","","\Co-sponsored\GOOS\Argo\ARGO NEW ZEALAND","",""
"argoNorway","","\Co-sponsored\GOOS\Argo\ARGO NORWAY","",""
"argoPMEL","","\Co-sponsored\GOOS\Argo\ARGO PMEL","",""
"argoPoland","","\Co-sponsored\GOOS\Argo\ARGO POLAND","",""
"argoRussia","","\Co-sponsored\GOOS\Argo\ARGO RUSSIA","",""
"argoSaudiArabia","","\Co-sponsored\GOOS\Argo\ARGO SAUDI ARABIA","",""
"argoSIO","","\Co-sponsored\GOOS\Argo\ARGO SIO","",""
"argoSIOEqASIRI","","\Co-sponsored\GOOS\Argo\ARGO SIO EQ (ASIRI)","",""
"argoSIOEqOKMC","","\Co-sponsored\GOOS\Argo\ARGO SIO EQ. (OKMC)","",""
"argoSouthAfrica","","\Co-sponsored\GOOS\Argo\ARGO SOUTH AFRICA","",""
"argoSpain","","\Co-sponsored\GOOS\Argo\ARGO SPAIN","",""
"argoSriLanka","","\Co-sponsored\GOOS\Argo\ARGO SRI LANKA","",""
"argoTWREng","","\Co-sponsored\GOOS\Argo\ARGO TWR ENGINEERING","",""
"argoUK","","\Co-sponsored\GOOS\Argo\ARGO UK","",""
"argoUKBIO","","\Co-sponsored\GOOS\Argo\ARGO UK BIO","",""
"argoUKEq","","\Co-sponsored\GOOS\Argo\ARGO UK EQ.","",""
"argoUW","","\Co-sponsored\GOOS\Argo\ARGO UW","",""
"argoUWAplEq","","\Co-sponsored\GOOS\Argo\ARGO UW-APL EQ.","",""
"argoUWEq","","\Co-sponsored\GOOS\Argo\ARGO UW EQ.","",""
"argoUWMbariEq","","\Co-sponsored\GOOS\Argo\ARGO UW-MBARI EQ.","",""
"argoUWSoccomEq","","\Co-sponsored\GOOS\Argo\ARGO UW-SOCCOM EQ.","",""
"argoUWSpursEq","","\Co-sponsored\GOOS\Argo\ARGO UW-SPURS  EQ.","",""
"argoUWUAEq","","\Co-sponsored\GOOS\Argo\ARGO UW-UA EQ.","",""
"argoWHOI","","\Co-sponsored\GOOS\Argo\ARGO WHOI","",""
"argoWHOIEqIR","","\Co-sponsored\GOOS\Argo\ARGO WHOI EQ. IR","",""
"argoWHOIMRVEq","","\Co-sponsored\GOOS\Argo\ARGO WHOI-MRV EQ.","",""
"ASAP","","\Co-sponsored\GOOS\SOT\ASAP","",""
"ASAPAWI","","\Co-sponsored\GOOS\SOT\ASAP\ASAP-AWI","",""
"ASAPZA","","\Co-sponsored\GOOS\SOT\ASAP-ZA","",""
"AWIDB","","\Co-sponsored\GOOS\DBCP\AWI-DB","",""
"BOMDB","","\Co-sponsored\GOOS\DBCP\BOM DB","",""
"BOMTSU","","\Co-sponsored\GOOS\DBCP\BOM-TSU","",""
"BPINC","","\Co-sponsored\GOOS\DBCP\BP INC","",""
"brazilPNBOIAINPE","","\Co-sponsored\GOOS\DBCP\BRAZIL PNBOIA-INPE","",""
"BSHDWDfixed","","\Co-sponsored\GOOS\DBCP\BSH-DWD-FIXED","",""
