"Notation_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Description_e"
"broadleafCrops","","","Broadleaf crops",NA
"deciduousBroadleafForest","","","Deciduous broadleaf forest",NA
"deciduousNeedleleafForest","","","Deciduous needleleaf forest",NA
"evergreenBroadleafForest","","","Evergreen broadleaf forest",NA
"evergreenNeedleleafForest","","","Evergreen needleleaf forest",NA
"grassesCerealCrops","","","Grasses/Cereal crops",NA
"nonVegetated","","","Non vegetated",NA
"notApplicable","","","(not applicable)",NA
"savannas","","","Savanna",NA
"shrubs","","","Shrubs",NA
"unclassified","","","(unclassified)",NA
"urban","","","Urban",NA
"water","","","Water",NA
